Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
132	Não	20210716	20210716_1913	Rua Pernambuco na Obrinha , rua com esgoto , já está assim ah algum tempo	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Pernambucano	Vila dos Pinheiros	-22.868639	-43.235243		
133	Sim	20210716	20210716_1916	muro da loja de material de construção do mineiro , mesmo com a placa sempre jogam lixo .	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Via B1	Vila dos Pinheiros	-22.86733	-43.23454		
134	Sim	20210716	20210716_1918	moradores jogam o lixo no meio da rua	Acúmulo de lixo	Não precisa		Lixo	Ocasionalmente	Travessa 27 	Vila dos Pinheiros	-22.86716	-43.23468		
135	Sim	20210720	20210720_0957	valão está sempre com repleto de lixo	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Av Canal	Vila dos Pinheiros	-22.86893	-43.24133		
136	Sim	20210720	20210720_0959	valão está sempre com repleto de lixo	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Av Canal	Vila dos Pinheiros	-22.86893	-43.24133		
137	Não	20210721	20210721_1646	Esgotamento persistente além do lixo.	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Tancredo Neves , divisa	Nova Holanda	-22.857944	-43.239852		
138	Não	20210722	20210722_1218	Vazamento de esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Ocasionalmente	Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves.	Nova Maré	-22.86074	-43.23963		
139	Não	20210722	20210722_1218	Bueiro aberto 	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves.	Nova Maré	-22.86074	-43.2395		
140	Não	20210722	20210722_1219	Lixo e vazamento de esgoto	Problemas com bueiro	Não precisa		Esgoto	Frequentemente	Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Ivanildo Alvez	Nova Maré	-22.85845	-43.24066		
141	Não	20210722	20210722_1220	Lixos e boeiro quebrado.	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Lixos e boeiro quebrado. Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves.	Nova Maré	-22.8605	-43.23935		
141	Não	20210722	20210722_1220	Lixos e boeiro quebrado.	Problemas com bueiro	Não precisa		Esgoto	Frequentemente	Lixos e boeiro quebrado. Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves.	Nova Maré	-22.8605	-43.23935		
142	Não	20210722	20210722_1222	Entulho espalhado,	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Entulho espalhado, Nova Mare ( sem número e nomes nas vielas), entrada pela Rua do canal projetada	Nova Maré	-22.86052	-43.23959		
143	Não	20210722	20210722_1222	Bueiro quebrado	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Boeiro quebrado,Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves.	Nova Maré	-22.86049	-43.23975		
